,MGI_Symbol,7558_S28,7707_S27,7713_S29,7715_S30,7801_S23,7802_S26,7803_S24,7804_S20,7805_S21,7807_S25
ENSMUSG00000037625,Cldn11,4.711,5.83,4.138,2.53,4.981,2.449,4.544,5.332,2.722,2.005
ENSMUSG00000037627,Rgs22,1.121,0.714,1.112,0.61,0.414,0.402,0.307,0.372,0.367,0.548
ENSMUSG00000037628,Cdkn3,6.805,9.385,5.399,7.752,10.35,11.951,8.806,15.902,15.937,11.349
ENSMUSG00000037636,Slc25a43,0.821,0.501,0.684,0.908,1.06,0.559,0.926,1.33,0.982,0.986
ENSMUSG00000037638,Zbtb42,0.766,0.476,0.673,0.757,1.129,1.05,0.472,1.265,0.746,0.628
ENSMUSG00000037640,Zfp60,4.827,5.449,4.233,4.563,3.174,3.949,3.111,4.102,3.622,3.646
ENSMUSG00000037643,Prkci,12.395,10.06,12.209,10.504,7.613,8.458,7.716,7.07,6.791,7.586
ENSMUSG00000037646,Vps13b,6.08,5.253,5.303,5.157,2.142,3.05,1.761,2.721,2.322,2.66
ENSMUSG00000037649,H2-DMa,1.501,2.173,2.941,2.378,2.6,3.033,2.404,2.469,2.202,1.507
ENSMUSG00000037652,Phc3,4.678,4.332,4.311,5.053,1.934,2.762,1.937,1.966,1.867,2.347
ENSMUSG00000037656,Slc20a2,4.601,3.866,4,3.063,3.789,3.997,8.328,4.871,3.289,4.106
ENSMUSG00000037661,Gpr160,0.237,0.384,0.339,0.42,0.243,0.509,0.215,0.366,0.34,0.377
ENSMUSG00000037664,Cdkn1c,2.416,3.12,2.58,1.837,2.837,3.261,3.381,4.6,2.249,3.207
ENSMUSG00000037669,Ldah,10.59,9.733,11.264,11.191,11.497,10.781,10.46,11.382,10.267,11.203
ENSMUSG00000037674,Rfx7,4.365,4.14,4.287,4.367,2.585,2.982,2.76,1.952,2.075,2.577
ENSMUSG00000037679,Inf2,7.152,10.995,9.394,9.925,9.687,12.708,5.74,6.503,10.527,9.059
ENSMUSG00000037681,Esyt3,1.761,1.419,1.559,1.116,1.127,1.646,0.875,1.001,1.22,1.447
ENSMUSG00000037683,Armc3,0.089,0.215,0.169,0.251,0.072,0.141,0.138,0.257,0.137,0.141
ENSMUSG00000037685,Atp8a1,3.719,3.131,3.221,2.75,1.779,1.807,1.788,1.872,1.524,1.815
ENSMUSG00000037686,Aspg,0.657,0.297,0.191,0.087,0.27,0.146,0.317,0.283,0.242,0.234
ENSMUSG00000037689,Tmem247,0,0,0,0,0,0,0,0.06,0,0
ENSMUSG00000037692,Ahdc1,5.543,5.337,6.039,5.888,4.937,6.3,3.64,5.99,4.874,5.889
ENSMUSG00000037697,Ddhd1,7.839,5.744,6.914,4.661,3.788,4.807,5.362,4.533,4.042,5.245
ENSMUSG00000037703,Lzts3,1.895,2.211,2.474,3.523,2.355,3.765,1.723,1.981,2.852,3.573
ENSMUSG00000037705,Tecta,0.18,0.115,0.258,0.17,0.061,0.14,0.041,0.215,0.079,0.108
ENSMUSG00000037706,Cd81,79.121,87.669,89.408,99.227,123.975,106.043,96.783,114.888,101.227,96.335
ENSMUSG00000037708,Spag6,0.062,0.131,0.115,0.081,0.024,0.059,0.026,0.027,0.115,0.047
ENSMUSG00000037709,Fam13a,27.371,19.779,27.561,17.5,10.85,16.227,11.188,20.387,15.734,18.874
ENSMUSG00000037710,Cisd1,19.065,21.871,18.809,32.915,29.599,25.934,26.957,30.324,34.848,31.196
ENSMUSG00000037712,Fermt2,51.291,48.641,42.974,45.908,37.942,38.13,49.176,40.97,37.245,39.771
ENSMUSG00000037716,Ccdc33,0.211,1.115,0.863,0.435,0.261,0.179,0.333,0.009,0.64,0.343
ENSMUSG00000037720,Tmem33,7.524,8.995,7.951,9.688,8.379,6.985,9.531,5.762,7.798,6.782
ENSMUSG00000037722,Gnpnat1,15.897,19.824,14.833,17.756,16.59,17.267,29.469,14.027,20.119,17.883
ENSMUSG00000037725,Ckap2,8.311,7.173,6.044,6.904,8.053,6.961,7.43,6.967,8.087,7.988
ENSMUSG00000037730,Mynn,6.018,6.381,5.476,6.132,4.592,4.498,5.083,4.146,4.436,4.604
ENSMUSG00000037731,Themis2,0.597,1.171,1.017,0.794,0.84,0.931,0.437,0.355,0.581,0.699
ENSMUSG00000037735,2810032G03Rik,0.092,0.179,0.069,0.087,0.142,0.1,0.082,0.129,0.122,0.126
ENSMUSG00000037736,Limch1,8.706,6.196,6.744,3.638,2.89,4.124,4.047,6.645,5.229,6.217
ENSMUSG00000037737,Actrt3,0.064,0,0.022,0,0.021,0,0,0.023,0,0
ENSMUSG00000037738,Nek5,0.144,0.294,0.15,0.231,0.156,0.481,0.18,0.503,0.241,0.372
ENSMUSG00000037740,Mrps26,4.436,4.287,5.028,5.166,7.137,7.209,8.207,7.668,7.607,6.909
ENSMUSG00000037742,Eef1a1,2489.999,2394.842,2145.778,2632.537,2814.474,2466.95,2760.653,2403.346,2858.56,2737.447
ENSMUSG00000037747,Phyhipl,0.099,0.033,0.058,0.036,0.093,0.053,0.076,0.056,0.108,0.074
ENSMUSG00000037750,Fam222b,9.283,7.792,8.994,7.207,6.125,6.914,6.621,6.21,7.528,7.976
ENSMUSG00000037752,Xkr8,1.326,1.974,2.107,2.432,2.341,2.66,1.126,1.362,1.694,1.979
ENSMUSG00000037754,Ppp1r16b,3.144,2.584,2.61,3.629,1.183,3.697,1.177,1.699,2.197,3.237
ENSMUSG00000037759,Ptger2,1.462,2.167,1.935,2.344,2.439,2.594,2.413,2.533,2.5,2.988
ENSMUSG00000037761,Actr5,3.591,2.701,3.084,3.099,2.862,2.825,2.931,3.709,3.268,3.391
ENSMUSG00000037762,Slc16a9,1.219,2.661,1.652,3.77,1.771,2.892,1.076,1.706,1.688,2.268
ENSMUSG00000037772,Mrpl23,6.567,6.324,6.935,7.444,10.73,8.546,10.592,18.797,10.195,8.967
ENSMUSG00000037773,Pced1a,3.926,3.891,4.363,4.33,4.223,4.546,3.923,3.986,4.559,4.725
ENSMUSG00000037784,Dzip1l,2.714,2.056,2.298,1.501,1.624,1.701,1.238,1.454,1.679,1.703
ENSMUSG00000037787,Apopt1,5.175,4.571,5.334,5.706,6.168,5.955,5.143,6.982,6.994,6.105
ENSMUSG00000037788,Vopp1,2.993,3.809,3.085,3.408,2.699,2.899,3.876,2.415,3.34,2.826
ENSMUSG00000037791,Phf12,12.536,10.039,13.009,9.927,8.709,10.797,6.906,7.41,8.788,10.162
ENSMUSG00000037795,N4bp2,4.137,4.382,4.052,2.994,1.565,2.073,2.091,2.138,1.948,2.167
ENSMUSG00000037797,Adh4,0.029,0.056,0.06,0,0.028,0.055,0.209,0.126,0.08,0
ENSMUSG00000037798,Mat1a,0.742,0.644,0.583,0.307,0.78,0.546,0.743,0.738,0.618,0.547
ENSMUSG00000037801,Iqch,0.199,0.27,0.151,0.046,0.077,0.104,0.107,0.184,0.141,0.11
ENSMUSG00000037805,Rpl10a,240.904,251.683,210.648,279.417,349.955,307.337,377.603,480.342,381.4,348.492
ENSMUSG00000037808,Fam76b,7.702,8.562,7.787,7.155,5.029,5.973,4.821,4.283,4.413,5.161
ENSMUSG00000037813,D630003M21Rik,0.573,0.945,0.818,1.151,0.667,1.631,0.535,1.169,1.165,1.188
ENSMUSG00000037815,Ctnna1,72.301,80.122,77.883,90.183,77.001,80.383,80.566,65.128,82.802,75.884
ENSMUSG00000037816,Fbxw17,6.353,5.753,5.705,5.132,5.223,4.912,6.348,5.485,5.354,5.034
ENSMUSG00000037818,Abhd18,0.874,0.964,0.995,0.984,0.796,0.822,0.469,0.639,0.664,0.717
ENSMUSG00000037820,Tgm2,13.237,13.518,19.642,17.334,32.518,19.651,29.223,23.485,24.34,21.548
ENSMUSG00000037822,Smim14,7.984,7.641,7.791,5.659,7.242,7.218,7.764,8.76,8.964,8.217
ENSMUSG00000037824,Tspan14,26.18,27.198,24.468,22.843,25.016,22.766,24.769,29.598,25.814,24.974
ENSMUSG00000037826,Ppm1k,6.67,9.058,6.425,8.884,4.224,5.052,3.153,5.043,4.614,5.099
ENSMUSG00000037827,Gm5884,4.996,4.439,5.967,4.425,5.992,6.058,4.983,3.94,5.991,5.366
ENSMUSG00000037833,Sh2d4b,0.767,0.523,0.572,0.411,0.173,0.208,0.205,0.464,0.222,0.248
ENSMUSG00000037845,Fdxacb1,0.795,0.971,0.935,0.908,0.996,0.734,0.905,0.811,0.967,0.833
ENSMUSG00000037846,Rtkn2,0.482,0.49,0.384,0.391,0.436,0.431,1.946,0.402,0.441,0.345
ENSMUSG00000037847,Nmrk1,1.198,1.502,1.391,1.921,1.631,1.595,1.542,1.266,1.383,1.276
ENSMUSG00000037849,Ifi206,0.533,0.239,0.342,0.413,0.188,0.039,0.256,0.313,0.216,0.052
ENSMUSG00000037851,Iars,16.527,17.296,16.731,16.669,15.799,12.795,18.454,8.498,12.178,11.883
ENSMUSG00000037852,Cpe,281.259,282.972,308.362,394.539,340.966,405.418,395.109,341.33,367.359,355.887
ENSMUSG00000037855,Zfp365,0.449,0.226,0.401,0.409,0.962,0.199,3.24,0.289,0.157,0.199
ENSMUSG00000037857,Nufip2,14.078,11.832,14.419,14.138,5.589,7.611,8.675,6.485,6.448,6.396
ENSMUSG00000037860,Aim2,0.203,0.266,0.323,0.372,0.34,0.614,0.149,0.26,0.111,0.376
ENSMUSG00000037868,Egr2,2.433,1.622,1.113,0.522,0.797,0.586,15.311,0.59,0.64,0.469
ENSMUSG00000037872,Ackr1,0.565,0.115,0.928,0.421,0.584,0.453,0.278,2.333,0.415,0.255
ENSMUSG00000037876,Jmjd1c,11.797,11.367,9.536,9.324,3.89,5.797,4.565,5.316,4.708,4.916
ENSMUSG00000037885,Stk35,7.13,6.856,7.439,6.09,4.789,6.415,4.388,3.88,4.354,6.006
ENSMUSG00000037887,Dusp8,0.643,0.666,0.446,0.518,0.826,0.466,3.953,0.879,0.71,0.237
ENSMUSG00000037890,Wdr19,2.85,2.505,2.629,2.639,1.852,2.189,1.142,2.022,1.73,2.15
ENSMUSG00000037892,Pcdh18,4.731,5.03,4.61,5.988,3.747,4.95,9.065,3.708,3.513,4.028
ENSMUSG00000037894,H2afz,155.224,189.307,127.238,192.242,192.33,190.109,265.424,207.978,228.955,201.746
ENSMUSG00000037896,Rcor1,12.222,11.08,11.48,10.897,7.32,8.575,7.91,7.001,7.008,7.451
ENSMUSG00000037902,Sirpa,6.24,5.768,7.338,6.92,6.157,6.868,5.314,5.052,6.703,7.665
ENSMUSG00000037904,Ankrd9,0.978,1.552,1.266,1.971,1.169,2.167,3.018,1.47,3.628,2.562
ENSMUSG00000037905,Bri3bp,5.737,6.019,5.934,6.432,6.132,7.078,5.687,5.799,5.973,6.318
ENSMUSG00000037907,Ankrd13b,4.492,3.938,4.371,3.101,3.677,4.709,3.715,3.688,4.566,3.854
ENSMUSG00000037910,1700018B24Rik,2.183,2.46,1.759,0.598,2.076,2.82,3.071,2.303,3.604,2.488
ENSMUSG00000037913,Tmem156,0.151,0.098,0.092,0.143,0.112,0.108,0.118,0.069,0.164,0.084
ENSMUSG00000037916,Ndufv1,33.039,31.894,32.04,35.297,39.094,34.323,40.448,56.075,40.79,38.628
ENSMUSG00000037921,Ddx60,1.615,1.423,1.262,1.702,0.808,1.609,0.494,1.174,0.985,1.088
ENSMUSG00000037922,Bank1,0.173,0.157,0.174,0.258,0.104,0.138,0.139,0.201,0.13,0.117
ENSMUSG00000037926,Ssh2,1.29,1.466,1.526,1.707,1.05,1.389,1.025,1.249,1.121,1.12
ENSMUSG00000037933,Bicd2,7.428,7.204,7.55,7.933,6.467,6.389,6.519,5.642,5.544,6.216
ENSMUSG00000037935,Smarce1,22.727,22.579,20.396,20.596,23.538,22.233,26.247,25.379,24.773,23.993
ENSMUSG00000037936,Scarb1,42.448,70.755,72.524,98.725,69.264,65.778,192.132,44.398,76.03,91.156
ENSMUSG00000037938,Chchd5,6.31,7.556,6.897,7.693,9.099,10.422,6.301,12.127,11.297,11.291
ENSMUSG00000037940,Inpp4b,0.259,0.419,0.376,0.29,0.135,0.256,0.073,0.153,0.196,0.201
ENSMUSG00000037944,Ccr7,0.106,0.102,0.198,0.08,0.041,0.121,0.241,0.184,0.098,0.141
ENSMUSG00000037946,Fgd3,8.653,4.395,5.886,3.876,5.958,2.153,3.916,3.915,2.45,2.879
ENSMUSG00000037949,Ano10,5.906,5.452,5.723,7.258,6.283,6.805,4.57,5.5,6.477,6.64
ENSMUSG00000037957,Wdr20,5.382,5.826,5.628,5.533,5.135,5.069,5.232,4.062,5.17,5.568
ENSMUSG00000037958,Nsrp1,11.519,12.656,11.204,12.649,17.891,15.893,20.028,36.618,17.718,15.048
ENSMUSG00000037960,Card19,16.825,14.769,16.708,22.115,43.735,27.735,31.869,20.272,27.455,22.816
ENSMUSG00000037962,Rflna,0.387,0.188,0.359,0.427,0.338,0.575,0.313,0.563,0.461,0.226
ENSMUSG00000037965,Zc3h7a,10.114,9.136,9.188,9.426,7.476,7.408,7.218,5.989,6.89,6.447
ENSMUSG00000037966,Ninj1,15.956,15.772,16.365,16.699,25.533,21.051,32.889,32.653,26.412,21.488
ENSMUSG00000037971,1110032A03Rik,2.879,3.507,2.587,3.344,3.682,4.22,2.097,4.998,4.251,3.533
ENSMUSG00000037972,Snn,9.107,10.334,7.67,7.119,6.645,6.298,7.231,7.609,8.611,7.984
ENSMUSG00000037977,6430571L13Rik,0.229,0.348,0.523,0.501,0.338,0.273,0.328,0.297,0.294,0.356
ENSMUSG00000037979,Ccdc92,2.111,2.643,2.071,2.528,2.947,3.692,3.066,2.753,3.532,3.215
ENSMUSG00000037989,Wnk2,1.536,1.371,1.302,1.134,1.021,1.456,0.884,0.972,1.146,1.918
ENSMUSG00000037990,Sh3rf3,0.219,0.229,0.186,0.207,0.147,0.187,0.287,0.182,0.161,0.193
ENSMUSG00000037991,Rmi2,0.706,0.523,0.716,0.491,0.895,0.638,0.627,0.851,0.51,0.905
ENSMUSG00000037992,Rara,6.533,4.549,6.812,4.679,6.984,5.765,6.655,8.449,5.404,5.235
ENSMUSG00000037993,Dhx38,10.061,8.086,9.225,9.096,9.227,9.396,7.847,7.617,8.661,8.823
ENSMUSG00000037994,Slc9b2,0.516,0.45,0.388,0.151,0.194,0.138,0.26,0.29,0.29,0.377
ENSMUSG00000037995,Igsf9,0.657,0.496,0.533,0.477,0.552,0.849,0.413,0.592,0.652,0.808
ENSMUSG00000037996,Slc24a2,0.116,0.06,0.053,0.039,0.047,0.023,0.05,0.041,0.032,0.042
ENSMUSG00000037997,Parp11,4.879,4.395,4.95,4.584,3.591,3.548,3.203,4.115,3.861,4.291
ENSMUSG00000037999,Arap2,2.186,2.288,1.596,1.184,0.91,1.084,1.334,1.196,1.133,1.185
ENSMUSG00000038000,Acd,4.388,4.114,4.497,4.47,5.773,6.086,5.406,6.003,6.336,6.039
ENSMUSG00000038002,Cramp1l,7.598,5.408,6.159,5.392,2.516,3.962,3.195,3.537,3.066,3.602
ENSMUSG00000038005,Hpf1,7.903,8.392,7.682,8.335,9.991,8.988,11.28,9.388,10.348,9.572
ENSMUSG00000038007,Acer2,0.706,0.691,0.85,0.65,0.642,0.489,1.09,0.623,0.494,0.512
ENSMUSG00000038009,Dnajc22,0.045,0.175,0.023,0.064,0,0.065,0.023,0.074,0.042,0.108
ENSMUSG00000038010,Ccdc138,1.838,1.517,1.949,3.049,1.789,1.425,1.498,0.787,1.806,2.625
ENSMUSG00000038011,Dnah10,0.169,0.161,0.138,0.103,0.15,0.139,0.151,0.161,0.128,0.231
ENSMUSG00000038013,Wipf2,3.706,3.571,3.903,3.288,3.149,2.938,3.039,3.43,2.823,3.07
ENSMUSG00000038014,Fam120a,51.319,44.504,46.965,55.867,38.684,44.352,34.709,28.985,36.069,39.526
ENSMUSG00000038015,Prm2,0.14,0.136,0.049,0.088,0.092,0,0.145,0.102,0.174,0.134
ENSMUSG00000038020,Rapgefl1,1.287,1.521,1.463,0.979,1.171,1.284,1.023,1.235,1.034,1.405
ENSMUSG00000038022,Fam188b,1.649,1.931,1.272,1.813,1.638,1.639,1.613,2.388,1.901,2.092
ENSMUSG00000038023,Atp6v0a2,8.175,7.634,7.86,7.45,6.247,6.524,7.148,5.314,6.194,6.439
ENSMUSG00000038024,Dennd4c,10.179,10.502,9.113,9.375,5.495,6.962,5.183,4.53,4.673,6.229
ENSMUSG00000038025,Phf2,11.065,10.055,10.72,9.264,6.49,8.055,7.163,5.842,7.566,7.885
ENSMUSG00000038026,Kcnj9,0.01,0.009,0,0.018,0.01,0.037,0.02,0.021,0.045,0
ENSMUSG00000038028,Tigar,4.075,4.177,4.409,3.955,3.522,4.278,4.065,4.593,4.239,4.121
ENSMUSG00000038034,Igsf8,6.074,5.088,5.958,5.078,8.077,8.793,5.427,7.383,7.263,7.399
ENSMUSG00000038037,Socs1,4.072,8.404,4.49,5.978,3.094,5.288,13.22,5.56,5.415,4.772
ENSMUSG00000038039,Gcc2,6.178,6.308,5.634,5.977,3.481,3.999,3.3,3.343,3.459,3.917
ENSMUSG00000038042,Ptpdc1,2.48,2.445,2.764,1.976,1.752,2.051,1.559,2.081,1.65,2.276
ENSMUSG00000038045,Sult6b1,0.275,0.095,0.164,0.26,0.193,0.225,0.122,0.214,0.293,0.131
ENSMUSG00000038046,Rnmtl1,4.531,3.749,4.493,5.175,5.831,5.248,7.954,6.353,4.88,4.864
ENSMUSG00000038047,Haus6,5.391,4.593,4.166,3.894,3.297,3.317,3.631,2.545,2.762,3.532
ENSMUSG00000038055,Dexi,4.171,3.674,4.564,3.774,5.225,4.655,8.249,6.463,5.077,4.864
ENSMUSG00000038056,Kmt2c,6.167,5.774,6.226,6.06,2.677,3.992,3.205,4.799,2.455,3.152
ENSMUSG00000038057,Dbil5,0.934,0.628,0.599,0.679,0.636,0.685,0.597,0.392,1.672,0.892
ENSMUSG00000038058,Nod1,3.724,3.718,4.168,4.168,5.34,4.406,5.275,3.227,3.351,3.588
ENSMUSG00000038059,Smim3,15.13,17.342,18.165,21.044,20.288,19.027,43.136,18.106,27.032,21.145
ENSMUSG00000038060,Dlec1,0.287,0.303,0.214,0.359,0.172,0.327,0.168,0.095,0.238,0.304
ENSMUSG00000038065,Mturn,10.293,7.728,7.519,8.023,4.899,7.16,3.882,6.324,6.756,6.715
ENSMUSG00000038068,Rnf144b,6.653,5.482,7.576,4.477,3.942,4.708,3.528,5.412,4.794,5.089
ENSMUSG00000038069,Cdkn2aip,4.905,4.42,3.966,4.109,3.649,3.572,4.044,3.434,3.863,3.76
ENSMUSG00000038070,Cntln,5.308,5.478,4.793,5.351,3.149,4.642,2.454,4.173,3.464,3.919
ENSMUSG00000038072,Galnt11,5.928,6.434,5.335,5.92,4.676,5.113,4.188,4.298,5.336,5.179
ENSMUSG00000038074,Fkbp14,9.66,9.445,9.556,9.037,10.888,7.179,7.858,7.714,7.774,7.17
ENSMUSG00000038077,Kcna6,0.028,0.055,0.08,0.046,0.076,0.074,0.029,0.077,0.052,0.02
ENSMUSG00000038079,Tmem237,7.969,8.702,8.389,9.225,10.236,9.117,7.749,7.737,9.224,10.115
ENSMUSG00000038080,Kdm1b,7.159,8.3,7.238,6.638,5.574,6.448,7.12,4.139,5.368,6.846
ENSMUSG00000038084,Opa1,13.62,13.37,12.299,13.768,8.545,10.007,7.707,8.857,8.38,9.424
ENSMUSG00000038085,Cnbd2,2.25,0.899,2.04,1.088,4.22,1.868,1.777,3.204,2.915,2.344
ENSMUSG00000038086,Hspb2,0.601,1.361,1.043,1.276,3.05,1.385,1.871,4.531,2.097,1.195
ENSMUSG00000038094,Atp13a4,0.013,0,0.007,0.006,0,0.006,0.007,0,0.012,0.006
ENSMUSG00000038095,Sbno1,7.972,7.271,7.721,7.172,5.523,5.568,6.649,6.902,5.186,5.125
ENSMUSG00000038102,Trappc11,8.393,8.409,8.129,8.996,6.602,6.954,6.26,5.97,6.193,7.506
ENSMUSG00000038112,AW551984,0.192,0.12,0.164,0.266,0.378,0.17,0.499,0.135,0.096,0.111
ENSMUSG00000038115,Ano2,0.093,0.045,0.073,0.037,0.069,0.096,0.056,0.076,0.137,0.118
ENSMUSG00000038116,Phf20,6.776,6.07,7.217,6.647,6.503,6.67,7.6,9.463,6.066,6.176
ENSMUSG00000038119,Cdon,3.61,4.412,3.449,3.638,2.877,3.721,3.259,3.145,2.665,3.675
ENSMUSG00000038121,Fam210a,16.125,13.286,13.415,10.446,7.836,8.716,10.789,7.943,8.364,10.184
ENSMUSG00000038122,Tbc1d32,2.983,3.232,2.59,3.215,1.474,2.13,0.953,1.932,1.59,1.885
ENSMUSG00000038126,Mphosph9,3.01,2.699,2.946,2.662,1.849,2.139,1.279,1.785,1.624,1.774
ENSMUSG00000038127,Ccdc50,20.235,20.749,17.955,18.893,10.8,12.385,14.549,10.44,11.962,11.609
ENSMUSG00000038128,Camk4,0.098,0.105,0.123,0.102,0.136,0.087,0.102,0.033,0.063,0.049
ENSMUSG00000038132,Rbm24,0.039,0.101,0.041,0.147,0.026,0.099,0.148,0.071,0.036,0.112
ENSMUSG00000038135,Crygn,0.104,0.202,0.217,0.295,0.46,0.199,0.324,0.397,0.291,0.298
ENSMUSG00000038141,Tmem181a,14.568,14.334,18.287,15.519,11.997,13.831,9.074,11.369,10.216,10.166
ENSMUSG00000038143,Stox2,0.885,1.045,1.499,1.336,0.528,0.638,0.835,0.634,0.39,0.504
ENSMUSG00000038145,Snrk,12.886,11.948,12.538,10.238,10.052,10.706,10.066,13.107,10.139,11.053
ENSMUSG00000038146,Notch3,1.318,3.058,2.394,3.112,1.393,2.421,1.52,1.172,2.619,2.28
ENSMUSG00000038147,Cd84,0.919,1.254,1.123,0.93,1.197,0.844,0.747,1.343,0.855,0.515
ENSMUSG00000038150,Ormdl3,31.58,27.222,32.227,29.208,43.36,33.457,33.052,44.319,37.778,32.355
ENSMUSG00000038151,Prdm1,0.532,0.472,0.72,0.38,0.276,0.392,0.434,0.282,0.347,0.37
ENSMUSG00000038152,5033430I15Rik,3.508,1.873,2.192,0.58,2.5,1.548,4.099,3.395,3.429,2.471
ENSMUSG00000038155,Gstp2,50.372,51.895,55.442,64.514,106.679,74.158,97.857,126.237,89.738,76.285
ENSMUSG00000038156,Spon1,9.209,4.364,7.776,2.377,8.327,1.83,9.83,6.324,2.373,1.821
ENSMUSG00000038160,Atg5,18.479,21.245,15.341,20.936,21.928,20.232,22.709,19.899,23.43,21.956
ENSMUSG00000038165,1700022A21Rik,0,0.028,0,0,0,0,0,0,0,0
ENSMUSG00000038167,Plekhg6,0.228,0.283,0.198,0.191,0.386,0.266,0.25,0.083,0.2,0.29
ENSMUSG00000038168,P3h2,4.252,2.222,3.75,2.193,1.852,1.605,1.666,1.542,1.88,1.94
ENSMUSG00000038170,Pde4dip,3.111,2.926,2.842,2.874,2.135,2.341,3.614,1.488,2.128,2.065
ENSMUSG00000038172,Ttc39b,2.78,2.472,2.4,2.389,1.774,1.589,3.188,1.415,1.177,1.29
ENSMUSG00000038173,Enpp6,2.22,6.339,4.082,7.354,1.273,3.552,1.237,1.363,5.031,5.075
ENSMUSG00000038174,Fam126b,3.207,3.908,2.946,3.343,1.377,2.361,1.534,2.17,1.485,2.169
ENSMUSG00000038175,Mylip,7.049,6.274,5.991,4.815,3.846,5.111,5.38,4.52,4.455,4.493
ENSMUSG00000038178,Slc43a2,1.696,1.453,1.619,1.331,1.463,1.233,0.859,1.238,1.2,1.529
ENSMUSG00000038179,Slamf7,0.237,0.248,0.408,0.258,0.179,0.218,0.199,0.209,0.212,0.227
ENSMUSG00000038180,Spag4,0.648,0.503,0.378,0.465,0.28,0.247,0.691,0.575,0.668,0.371
ENSMUSG00000038181,Chpf2,3.28,2.879,3.571,3.619,4.068,3.264,2.909,2.461,3.067,2.904
ENSMUSG00000038187,Btbd10,4.433,4.513,4.159,4.207,3.522,3.329,6.338,3.445,3.745,3.781
ENSMUSG00000038188,Scarf1,1.432,2.822,2.063,2.499,2.388,2.91,1.892,3.012,3.042,2.528
ENSMUSG00000038193,Hand2,0.053,0.069,0.037,0.117,0.105,0.017,0.148,0.077,0.017,0
ENSMUSG00000038195,Rilp,0.791,0.845,0.577,0.847,0.959,1.233,0.904,1.15,0.81,1.234
ENSMUSG00000038199,4931409K22Rik,0.037,0.036,0.013,0.047,0.012,0.047,0.026,0.04,0.069,0.047
ENSMUSG00000038201,Kcna7,0.019,0.037,0.179,0.108,0.075,0.073,0.139,0.021,0.036,0.238
ENSMUSG00000038204,Asb10,0.164,0.101,0.155,0.183,0.117,0.184,0,0.097,0.069,0.099
ENSMUSG00000038205,Prkab2,19.753,12.979,16.473,7.721,11.006,8.978,18.376,12.034,11.149,11.488
ENSMUSG00000038206,Fbxo8,4.483,5.987,3.946,6.573,6.594,5.032,4.56,4.024,5.514,5.848
ENSMUSG00000038208,Pgap3,3.458,2.733,2.891,2.5,3.992,3.371,3.083,2.916,3.302,3.511
ENSMUSG00000038212,Mfsd14b,13.679,16.438,13.856,15.218,13.266,13.229,14.172,9.616,11.862,12.639
ENSMUSG00000038213,Tapbpl,3.195,4.049,3.604,3.822,4.989,4.825,4.055,3.891,4.18,4.222
ENSMUSG00000038214,Bend3,2.467,2.371,1.874,3.041,1.456,2.301,2.823,1.536,1.892,2.263
ENSMUSG00000038215,Cep44,3.657,3.577,2.895,2.891,3.991,3.142,2.944,3.174,3.474,3.245
ENSMUSG00000038217,Tlcd2,6.577,6.385,6.669,7.474,10.258,9.852,7.099,11.382,10.82,10.34
ENSMUSG00000038224,Serpinf2,0.234,0.052,0.224,0.153,0.141,0.069,0.392,0.353,0.084,0.051
ENSMUSG00000038225,Primpol,2.514,2.421,2.041,2.183,1.587,1.764,1.001,1.413,1.582,1.798
ENSMUSG00000038227,Hoxa9,0.12,0.065,0.086,0.163,0.324,0.128,0.109,0.253,0.237,0.172
ENSMUSG00000038233,Fam198a,1.521,1.529,1.213,1.833,2.088,1.43,0.65,0.929,0.994,1.092
ENSMUSG00000038235,F11r,28.785,28.108,34.429,36.316,47.625,52.38,30.574,29.303,51.793,39.653
ENSMUSG00000038236,Hoxa7,0.377,0.268,0.62,0.329,0.542,0.706,0.678,1.124,0.405,0.818
ENSMUSG00000038239,Hrc,0.553,0.569,0.61,0.323,0.288,0.295,0.389,0.515,0.333,0.559
ENSMUSG00000038240,Pdss2,1.4,1.448,1.298,1.415,1.521,1.516,1.2,1.573,1.571,1.679
ENSMUSG00000038241,Cep250,4.23,3.669,3.629,3.025,2.12,3.075,1.496,2.598,2.327,3.006
ENSMUSG00000038242,Aox4,0.432,0.279,0.269,0.286,0.483,0.289,0.191,0.314,0.208,0.332
ENSMUSG00000038244,Mical2,4.988,6.662,3.769,2.987,3.13,3.591,5.002,2.717,3.768,3.097
ENSMUSG00000038248,Sobp,3.549,3.064,4.592,3.537,5.506,4.12,4.673,5.048,3.472,3.448
ENSMUSG00000038250,Usp38,5.546,6.09,6.215,5.629,4.614,5.068,6.319,3.945,5.217,5.388
ENSMUSG00000038252,Ncapd2,18.573,11.614,12.327,10.764,15.896,14.341,9.069,12.321,13.333,15.488
ENSMUSG00000038253,Hoxa5,0.423,0.41,0.417,0.63,0.831,0.658,0.601,0.606,0.311,0.595
ENSMUSG00000038256,Bcl9,5.67,5.269,5.683,4.164,4.333,4.644,3.362,3.628,3.792,4.282
ENSMUSG00000038260,Trpm4,3.328,2.534,3.176,2.465,2.157,2.781,1.774,2.696,2.825,2.531
ENSMUSG00000038264,Sema7a,49.245,31.777,43.631,38.027,38.468,35.039,23.491,32.496,35.234,36.867
ENSMUSG00000038267,Slc22a23,1.151,1.161,1.021,0.741,0.81,1.023,1.046,0.535,0.937,0.968
