,MGI_Symbol,7558_S28,7707_S27,7713_S29,7715_S30,7801_S23,7802_S26,7803_S24,7804_S20,7805_S21,7807_S25
ENSMUSG00000105175,Gm43097,32.903,33.012,31.381,31.853,46.737,32.7,44.79,35.578,41.694,40.406
ENSMUSG00000105176,Gm43668,0.703,0.872,0.968,0.694,0.499,0.753,0.625,0.528,0.466,0.687
ENSMUSG00000105179,Gm42866,0.051,0.061,0.079,0.06,0.012,0.06,0.039,0.041,0.047,0.036
ENSMUSG00000105181,Gm19620,0.289,0.654,0.701,0.545,1.702,1.743,2.497,3.567,2.149,1.378
ENSMUSG00000105189,Gm7774,2.663,1.901,2.039,2.071,2.771,3.362,2.196,2.05,3.062,3.816
ENSMUSG00000105194,Gm6755,5.46,5.676,6.239,5.75,7.076,5.208,5.821,5.111,5.128,4.708
ENSMUSG00000105198,Gm42502,0.498,0.558,0.359,0.253,0.038,0.11,0.04,0.084,0,0.037
ENSMUSG00000105199,Gm43581,0.262,0.085,0.091,0.028,0,0,0.091,0.048,0.027,0.014
ENSMUSG00000105201,Gm43362,0.524,0.509,0.422,0.399,0.249,0.355,0.509,1.327,0.503,0.355
ENSMUSG00000105206,Gm4870,1.101,1.263,0.869,1.04,0.787,0.828,0.866,0.801,0.528,1.148
ENSMUSG00000105223,Gm43433,2.951,3.202,3.525,3.033,3.241,2.484,2.794,1.704,3.07,3.814
ENSMUSG00000105224,Gm3364,0.069,0.167,0.179,0.227,0.169,0.229,0.178,0.075,0.16,0.164
ENSMUSG00000105233,Gm20568,3.212,3.507,2.717,5.876,4.734,3.446,5.002,8.755,6.353,4.601
ENSMUSG00000105243,Gm43444,4.878,5.849,2.838,5.419,7.896,5.884,6.853,4.85,4.674,4.248
ENSMUSG00000105245,Gm43076,0.304,0.236,0.696,0.316,0.269,0.261,0.442,0.663,0.17,0.261
ENSMUSG00000105260,Gm42434,0.058,0,0.121,0.055,0,0,0,0,0,0
ENSMUSG00000105263,Gm42427,0.252,0.329,0.222,0.425,0.419,0.233,0.729,0.206,0.198,0.143
ENSMUSG00000105272,Gm43071,1.541,0.878,1.391,0.873,0.323,0.47,0.256,0.336,0.344,0.314
ENSMUSG00000105282,Gm42981,0.116,0.05,0.107,0.133,0.151,0.086,0.093,0.224,0.191,0.049
ENSMUSG00000105283,Gm33370,2.134,1.575,2.578,1.612,2.685,2.687,1.596,5.772,2.384,2.61
ENSMUSG00000105297,Gm30852,0,0,0.085,0,0,0,0.042,0,0,0.039
ENSMUSG00000105298,Cldn25-ps,0.843,0.526,0.502,0.398,1.007,0.747,1.376,1.445,1.458,1.266
ENSMUSG00000105300,Gm30613,0,0.079,0,0.077,0.24,0,0,0,0,0.078
ENSMUSG00000105303,Gm18555,0.429,0.208,0.67,0.473,0,0,0.297,0.312,0.133,0.341
ENSMUSG00000105304,Gm43696,0.062,0.1,0.122,0.058,0.095,0.112,0.171,0.51,0.07,0.059
ENSMUSG00000105316,Gm42953,0.431,0.558,0.075,0.136,0.353,0.411,0.522,0.784,0.268,0.206
ENSMUSG00000105327,Gm9409,8.456,8.208,7.704,9.232,14.932,11.971,14.817,24.349,16.972,12.241
ENSMUSG00000105333,Mir684-2,18.933,31.102,20.22,33.924,22.424,26.392,44.867,25.94,32.085,33.85
