,gene,no_rows,n
641,zma-MIR169j,11,11
38,Zm00001d002393,10,10
45,Zm00001d003304,10,10
48,Zm00001d003650,10,10
104,Zm00001d008211,10,10
259,Zm00001d022948,10,10
563,Zm00001d047253,10,10
581,Zm00001d048961,10,10
630,Zm00001d053843,10,10
632,zma-MIR156d,10,10
135,Zm00001d010652,9,9
161,Zm00001d012968,9,9
177,Zm00001d014365,9,9
257,Zm00001d022896,9,9
358,Zm00001d030772,9,9
470,Zm00001d039847,9,9
634,zma-MIR159d,9,9
322,Zm00001d027453,8,8
498,Zm00001d041886,8,8
505,Zm00001d042964,8,8
510,Zm00001d043209,8,8
612,Zm00001d052395,8,8
67,Zm00001d005145,7,7
139,Zm00001d010856,7,7
402,Zm00001d035306,7,7
534,Zm00001d045031,7,7
609,Zm00001d052016,7,7
645,zma-MIR408b,7,7
69,Zm00001d005376,6,6
438,Zm00001d036683,6,6
574,Zm00001d048438,6,6
598,Zm00001d051054,6,6
31,Zm00001d001754,5,5
195,Zm00001d016085,5,5
457,Zm00001d038450,5,5
503,Zm00001d042875,5,5
504,Zm00001d042900,5,5
518,Zm00001d043586,5,5
582,Zm00001d049257,5,5
20,Zm00001d001155,4,4
163,Zm00001d013104,4,4
196,Zm00001d016135,4,4
197,Zm00001d016137,4,4
203,Zm00001d016510,4,4
204,Zm00001d016740,4,4
210,Zm00001d017619,4,4
215,Zm00001d018717,4,4
501,Zm00001d042446,4,4
516,Zm00001d043427,4,4
526,Zm00001d044427,4,4
559,Zm00001d047000,4,4
565,Zm00001d047542,4,4
625,Zm00001d053530,4,4
41,Zm00001d002596,3,3
148,Zm00001d012120,3,3
160,Zm00001d012956,3,3
176,Zm00001d014081,3,3
236,Zm00001d020626,3,3
311,Zm00001d026990,3,3
441,Zm00001d036787,3,3
458,Zm00001d038563,3,3
476,Zm00001d040231,3,3
105,Zm00001d008288,2,2
306,Zm00001d026813,2,2
365,Zm00001d031286,2,2
393,Zm00001d034611,2,2
394,Zm00001d034639,2,2
428,Zm00001d036003,2,2
444,Zm00001d037023,2,2
560,Zm00001d047012,2,2
570,Zm00001d048185,2,2
608,Zm00001d051944,2,2
626,Zm00001d053533,2,2
100,Zm00001d008056,1,1
109,Zm00001d008501,1,1
140,Zm00001d010903,1,1
151,Zm00001d012444,1,1
169,Zm00001d013487,1,1
238,Zm00001d021160,1,1
240,Zm00001d021386,1,1
241,Zm00001d021463,1,1
321,Zm00001d027220,1,1
339,Zm00001d028953,1,1
395,Zm00001d034642,1,1
432,Zm00001d036436,1,1
449,Zm00001d037738,1,1
462,Zm00001d039055,1,1
511,Zm00001d043323,1,1
529,Zm00001d044716,1,1
538,Zm00001d045360,1,1
595,Zm00001d050623,1,1
629,Zm00001d053750,1,1
637,zma-MIR166d,1,1
643,zma-MIR393a,1,1
